"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録5406742","ＤＥＣＯＨＯＭＥ＼デコホーム","","デコホーム,デコ","11,20,21,24,27,35","株式会社　ニトリホールディングス","2010/06/14","2011/04/15","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2010-046949/40/ja"
"登録5417792","ＦｌａｓｈＡｉｒ","","フラッシュエアー,フラッシュエア,フラッシュ,エアー,エア,エイアイアアル","09","キオクシア株式会社","2011/01/12","2011/06/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-001267/40/ja"
"登録5419571","ＮＡＴＵＲＡＬ　ＳＫＩＮ","","ナチュラルスキン","25","株式会社ファーストリテイリング","2010/08/19","2011/06/17","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2010-065499/40/ja"
"登録5421486","ＢＥＮＡＮＤ","","ベナンド,ベンアンド","09","キオクシア株式会社","2011/02/02","2011/06/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-006681/40/ja"
"登録5445875","ニトリファニチャー＼ＮＩＴＯＲＩ　ＦＵＲＮＩＴＵＲＥ","","ニトリファニチャー,ニトリ","20","株式会社ニトリホールディングス","2011/04/14","2011/10/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-026408/40/ja"
"登録5448666","着るＵＶカット","","キルユウブイカット,キルユウブイ,ユウブイカット","25","株式会社ファーストリテイリング","2011/02/07","2011/11/04","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-007702/40/ja"
"登録5461979","","","","09","キオクシア株式会社","2011/07/28","2012/01/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-053585/40/ja"
"登録5466882","￠Ａｔｔａｃｈｅ　ｄ’ＩＤＥＥ","","アッタシェディデ,アッタシェ,ディデ,イデ","35","株式会社良品計画","2011/08/18","2012/01/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-059227/40/ja"
"登録5470087","§ぐみ＼わんぱく組","","ワンパクグミ","18","株式会社ニトリホールディングス","2011/08/23","2012/02/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-060116/40/ja"
"登録5470088","わんぱく組","","ワンパクグミ","18","株式会社ニトリホールディングス","2011/08/23","2012/02/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-060117/40/ja"
"登録5493770","ニトリモール","","ニトリモール,ニトリ,モール","35","株式会社ニトリホールディングス","2011/11/25","2012/05/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-088029/40/ja"
"登録5493771","ニトリ＼モール","","ニトリモール,ニトリ,モール","35","株式会社ニトリホールディングス","2011/11/25","2012/05/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-088030/40/ja"
"登録5493772","ニトリモール","","ニトリモール","35","株式会社ニトリホールディングス","2011/11/25","2012/05/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-088067/40/ja"
"登録5514962","デュアルポケット","","デュアルポケット,デュアル","20","株式会社ニトリホールディングス","2012/03/12","2012/08/17","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-022514/40/ja"
"登録5514963","ＤＵＡＬＰＯＣＫＥＴ","","デュアルポケット,デュアル","20","株式会社ニトリホールディングス","2012/03/12","2012/08/17","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-022515/40/ja"
"登録5518881","§シマホ","","シマホ","35","株式会社ニトリホールディングス","2012/03/28","2012/08/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-023951/40/ja"
"登録5518882","家具・ホームセンター＼ＨＯＭＥ’Ｓ＼島忠","","カグホームセンターホームズシマチュー,カグホームセンター,ホームズ,ホーム,シマチュー","35","株式会社ニトリホールディングス","2012/03/28","2012/08/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-023952/40/ja"
"登録5547585","ニトリ＼ファシリティ","","ニトリファシリティ,ニトリ,ファシリティ","36,37,45","株式会社ニトリホールディングス","2012/03/13","2013/01/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-022971/40/ja"
"登録5547586","ニトリファシリティ","","ニトリファシリティ,ニトリ","36,37,45","株式会社ニトリホールディングス","2012/03/13","2013/01/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-023003/40/ja"
"登録5548834","ＵＮＩ＼ＱＬＯ","","ユニクロ","03,16,20,21,26,27,28","株式会社ファーストリテイリング","2012/07/31","2013/01/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-061796/40/ja"
"登録5552123","Ｆｌａｓｈ　Ａｉｒｗａｙｓ","","フラッシュエアウエーズ,フラッシュ,エアウエーズ","09","キオクシア株式会社","2012/07/31","2013/01/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-061817/40/ja"
"登録5558680","Ｎ‐ＧＵＡＲＤ＼【エヌガード】","","エヌガード","20,24,27","株式会社ニトリホールディングス","2012/08/15","2013/02/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-069226/40/ja"
"登録5559931","家具の家","","カグノイエ,カグノウチ","36,37","株式会社良品計画","2012/09/13","2013/02/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-074094/40/ja"
"登録5572378","ＦＡＳＴ　ＲＥＴＡＩＬＩＮＧ","","ファーストリテーリング,ファストリテーリング,ファースト,ファスト,リテーリング","25","株式会社ファーストリテイリング","2012/09/28","2013/04/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-078722/40/ja"
"登録5573233","ＮＩＴＯＲＩ","","ニトリ","35","株式会社ニトリホールディングス","2011/12/21","2013/04/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2011-094933/40/ja"
"登録5578073","ＲＥＬＡＣＯ","","レラコ,リラコ","25","株式会社ファーストリテイリング","2012/11/30","2013/04/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-097312/40/ja"
"登録5582553","ＣＬＯＴＨＥＳ　ＦＯＲ　ＳＭＩＬＥＳ","","クローズフォアスマイル,クローズフォースマイルズ","25,35,36","株式会社ファーストリテイリング","2012/10/10","2013/05/17","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-081574/40/ja"
"登録5583696","§キラ★ピカ＼わんぱく組∞ぐみ","","キラピカワンパクグミ,キラピカ,ワンパクグミ","18","株式会社ニトリホールディングス","2012/07/27","2013/05/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-064573/40/ja"
"登録5590658","ＣＯＭＦＯＲＴ　ＵＮＬＩＭＩＴＥＤ","","コンフォートアンリミテッド,コンフォート,アンリミテッド","25","株式会社ファーストリテイリング","2013/01/31","2013/06/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-005912/40/ja"
"登録5593848","ＴｒａｎｓＭｅｍｏｒｙ－ＭＸ","","トランスメモリーエムエックス,トランスメモリー","09","キオクシア株式会社","2013/03/04","2013/06/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-014951/40/ja"
"登録5618859","ユニ＼クロ∞ＵＮＩ＼ＱＬＯ∞ＬｉｆｅＷｅａｒ","","ユニクロライフウエア,ユニクロ,ライフウエア,ライフ","25,35","株式会社ファーストリテイリング","2013/02/27","2013/09/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-013659/40/ja"
"登録5620743","Ｊ　ＢＲＡＮＤ","","ジェイブランド","18,25","ファーストリテイリング　ユーエスエー　インコーポレイテッド","2012/10/05","2013/10/04","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-080735/40/ja"
"登録5629683","§ｕＬ","","ユウエル","25","株式会社ファーストリテイリング","2012/08/02","2013/11/15","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-062752/40/ja"
"登録5638789","ＳＰＲＺＮＹ","","スパーズエヌワイ,エスピイアアルゼットエヌワイ,スパーズ,エスピイアアルゼット","18,25","株式会社ファーストリテイリング","2013/08/06","2013/12/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-061287/40/ja"
"登録5638790","ＷＥＡＲ　ＦＲＥＥＤＯＭ","","ウエアフリーダム,フリーダム","25","株式会社ファーストリテイリング","2013/08/07","2013/12/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-061429/40/ja"
"登録5654856","ＭＵＪＩ　ＨＯＵＳＥ＼ムジ　ハウス","","ムジハウス,ムジ","36,37,42","株式会社良品計画","2013/09/25","2014/03/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-074522/40/ja"
"登録5657295","わんぱく組　メチャ！ピカ","","ワンパクグミメチャピカ,ワンパクグミ,メチャピカ","18","株式会社ニトリホールディングス","2013/09/03","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-072105/40/ja"
"登録5657296","わんぱく組　キラピカ＋","","ワンパクグミキラピカプラス,ワンパクグミ,キラピカプラス,キラピカ","18","株式会社ニトリホールディングス","2013/09/03","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-072106/40/ja"
"登録5657297","ＵＯＭＵ","","ウオム","20,24","株式会社ニトリホールディングス","2013/09/03","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-072107/40/ja"
"登録5657298","§ＵＯＭＵ","","ウオム","20,24","株式会社ニトリホールディングス","2013/09/03","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-072108/40/ja"
"登録5657828","３ＤＢＩＣＳ","","スリーディービクス,スリーデイビクス,サンデイビクス,スリーディービックス,スリーデイビックス,サンデイビックス,ビクス,ビックス","09","キオクシア株式会社","2013/10/25","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-083749/40/ja"
"登録5657829","ＢＩＣＳＦＬＡＳＨ","","ビクスフラッシュ,ビックスフラッシュ,ビクス,ビックス","09","キオクシア株式会社","2013/10/25","2014/03/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-083750/40/ja"
"登録5661389","ごろり牛肉","","ゴロリギューニク,ゴロリ","29","株式会社良品計画","2013/11/18","2014/04/04","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-089999/40/ja"
"登録5666106","Ａｉｒｌｉｓｍ","","エアリズム,リズム","01,03,05,10,11,21","株式会社ファーストリテイリング","2013/10/08","2014/04/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-078632/40/ja"
"登録5668203","ＦｌａｓｈＡｉｒ　ｔｏｕｃｈ","","フラッシュエアータッチ,フラッシュエアタッチ,フラッシュエアー,フラッシュエア,タッチ","09","キオクシア株式会社","2013/12/05","2014/05/09","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2013-095670/40/ja"
"登録5690759","ＲＥＬＡＣＯ","","リラコ,レラコ","24,35","株式会社ファーストリテイリング","2014/03/17","2014/08/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-020292/40/ja"
"登録5690760","ＣＬＯＴＨＥＳ　ＦＯＲ　ＳＭＩＬＥＳ","","クローズフォースマイルズ,フォースマイルズ","24","株式会社ファーストリテイリング","2014/03/17","2014/08/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-020296/40/ja"
"登録5692401","","","","25,35","株式会社ファーストリテイリング","2014/03/24","2014/08/08","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-022028/40/ja"
"登録5696772","ユニ＼クロ∞ＵＮＩ＼ＱＬＯ∞ＬｉｆｅＷｅａｒ","","ユニクロライフウエア,ユニクロ,ライフウエア,ライフ","09,14,18,24,26","株式会社ファーストリテイリング","2014/04/04","2014/08/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-026471/40/ja"
"登録5701898","縦の家","","タテノイエ,タテノウチ","36,37","株式会社良品計画","2014/04/28","2014/09/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-033180/40/ja"
"登録5708278","§Ｓｍａｒｃｋ","","スマーク","18","株式会社ニトリホールディングス","2014/05/12","2014/10/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-041032/40/ja"
"登録5708279","Ｓｍａｒｃｋ","","スマーク","18","株式会社ニトリホールディングス","2014/05/12","2014/10/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-041033/40/ja"
"登録5709373","ＨＥＡＴＴＥＣＨ","","ヒートテック,ヒートテク","24,35","株式会社ファーストリテイリング","2014/03/17","2014/10/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-020295/40/ja"
"登録5714584","§ＵＴ","","ユウテイ","24,25","株式会社ファーストリテイリング","2014/06/05","2014/10/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-045863/40/ja"
"登録5716482","３ＤＢＩＣＳ＼３Ｄ‐ＢＩＣＳ","","サンデイビクス,スリーデイビクス,スリーディービクス,サンデイビックス,スリーデイビックス,スリーディービックス,ビクス,ビックス","09","キオクシア株式会社","2014/06/20","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-051694/40/ja"
"登録5716483","ＢＩＣＳＦＬＡＳＨ＼ＢＩＣＳ　ＦＬＡＳＨ","","ビクスフラッシュ,ビックスフラッシュ,ビクス,ビックス,フラッシュ","09","キオクシア株式会社","2014/06/20","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-051695/40/ja"
"登録5716721","§ＵＴ∞ｍｅ！","","ユウテイミー,ユウテイ,ミー","25,35,40,42","株式会社ファーストリテイリング","2014/06/18","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-050652/40/ja"
"登録5716722","Ｃｏｍｆｏｒｔ　Ｂｅａｕｔｙ　Ｗｅａｒ","","コンフォートビューティーウエア,コンフォートビューティー,コンフォート","24,25,35","株式会社ファーストリテイリング","2014/06/18","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-050653/40/ja"
"登録5716788","ＵＮＩＱＬＯ","","ユニクロ","41","株式会社ファーストリテイリング","2014/07/11","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-058403/40/ja"
"登録5716789","ユニ＼クロ∞ＵＮＩ＼ＱＬＯ","","ユニクロ","41","株式会社ファーストリテイリング","2014/07/11","2014/11/07","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-058404/40/ja"
"登録5717997","§ＵＬ∞ＵＬＴＲＡ＼ＬＩＧＨＴ＼ＤＯＷＮ","","ユウエル,ウルトラライトダウン,ライトダウン,ライト","24,35","株式会社ファーストリテイリング","2014/03/17","2014/11/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-020294/40/ja"
"登録5718008","§ＵＬ∞ＵＬＴＲＡ＼ＬＩＧＨＴ＼ＤＯＷＮ","","ユウエル,ウルトラライトダウン,ウルトラライト,ライトダウン","25","株式会社ファーストリテイリング","2014/04/01","2014/11/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-024984/40/ja"
"登録5718316","ユニ＼クロ","","ユニクロ","28","株式会社ファーストリテイリング","2014/07/11","2014/11/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-058405/40/ja"
"登録5725851","ＡＩＲｉｓｍ","","エアリズム,アイリズム,エアーイズム","35","株式会社ファーストリテイリング","2014/03/17","2014/12/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-020293/40/ja"
"登録5755269","§ＵＴ∞ｍｅ！","","ユウテイミー,ユウテイ,ミー","09,18","株式会社ファーストリテイリング","2014/12/08","2015/04/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-103164/40/ja"
"登録5762214","ローカルニッポン","","ローカルニッポン,ローカル","41,42","株式会社良品計画","2014/12/04","2015/05/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-102235/40/ja"
"登録5762750","３Ｄ‐ＢＩＣＳ＼スリーディビックス","","スリーディビックス,スリーディービックス,サンデイビックス,スリーデイビックス,スリーディービクス,サンデイビクス,スリーデイビクス,ビックス,ビクス","09","キオクシア株式会社","2014/12/19","2015/05/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-107987/40/ja"
"登録5762751","ＢＩＣＳ　ＦＬＡＳＨ＼ビックスフラッシュ","","ビックスフラッシュ,ビクスフラッシュ,ビックス,ビクス,フラッシュ","09","キオクシア株式会社","2014/12/19","2015/05/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-107988/40/ja"
"登録5768224","ＭＡＧＩＣ　ＦＯＲ　ＡＬＬ","","マジックフォーオール","18,24,25,35","株式会社ファーストリテイリング","2015/01/16","2015/05/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-003447/40/ja"
"登録5773996","ＭＡＲＳＨＭＡＬＬＯＷ　ＦＥＥＬ","","マシュマロフィール,マシュマロ,フィール","25,35","株式会社ファーストリテイリング","2015/02/19","2015/06/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-014898/40/ja"
"登録5773997","ＭＯＣＯ　ＭＯＣＯ　ＦＥＥＬ","","モコモコフィール,モコモコ,モコ,フィール","25,35","株式会社ファーストリテイリング","2015/02/19","2015/06/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-014899/40/ja"
"登録5775738","ＭＵＪＩ","","ムジ","01,02,03,04,05,06,07,08,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,37,39,40","株式会社良品計画","2014/10/20","2015/07/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2014-087912/40/ja"
"登録5776772","ＧＵ","","ジイユウ,グ","09,14,18,25,26,35","株式会社ファーストリテイリング","2012/11/08","2015/07/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2012-090731/40/ja"
"登録5776772/01","ＧＵ","","ジイユウ","10","株式会社ファーストリテイリング","2019/07/23","2021/06/29","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2019-100115/40/ja"
"登録5785592","ＢＲＡ－ＦＥＥＬ","","ブラフィール,フィール","25,35","株式会社ファーストリテイリング","2015/02/19","2015/08/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-014897/40/ja"
"登録5786003","オンハンド","","オンハンド","25,35,39,42","株式会社ファーストリテイリング","2015/03/30","2015/08/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-028975/40/ja"
"登録5786004","ＯＮ　ＨＡＮＤ","","オンハンド","25,35,39,42","株式会社ファーストリテイリング","2015/03/30","2015/08/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-028976/40/ja"
"登録5808431","ＧＵ－ＷＡＲＭ","","ジイユウウオーム,ジーユーウオーム,ウオーム","25,35","株式会社ファーストリテイリング","2015/06/26","2015/11/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-060902/40/ja"
"登録5808432","ＧＵ－ＤＲＹ","","ジイユウドライ,ジーユードライ,ドライ,デイアアルワイ","25,35","株式会社ファーストリテイリング","2015/06/26","2015/11/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-060903/40/ja"
"登録5814892","ＥＸ∞ＤＲＹ－ＥＸ","","イイエックス,ドライイイエックス,ドライ,デイアアルワイ","24,25,35","株式会社ファーストリテイリング","2015/06/15","2015/12/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-056363/40/ja"
"登録5820287","トレパス","","トレパス","18","株式会社ニトリホールディングス","2015/06/24","2016/01/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-064093/40/ja"
"登録5820288","§トレパス","","トレパス,トレ","18","株式会社ニトリホールディングス","2015/06/24","2016/01/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-064094/40/ja"
"登録5820289","トライプロテクト","","トライプロテクト","20","株式会社ニトリホールディングス","2015/06/24","2016/01/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-064095/40/ja"
"登録5820291","デュアルプロテクト","","デュアルプロテクト","20","株式会社ニトリホールディングス","2015/06/24","2016/01/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-064097/40/ja"
"登録5828165","ウェアレクス","","ウエアレクス","09,35,42","株式会社ファーストリテイリング","2015/08/04","2016/02/19","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-074442/40/ja"
"登録5828166","ＷＥＡＲＥＸ","","ウエアレクス,ウエアレックス","09,35,42","株式会社ファーストリテイリング","2015/08/04","2016/02/19","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-074443/40/ja"
"登録5837446","§ＮＩＴＯＲＩ＼ＰＰＰ∞３∞トライプロテクト","","ニトリピイピイピイスリートライプロテクト,ニトリピイピイピイサントライプロテクト,ニトリピイピイピイスリー,ニトリピイピイピイサン,ニトリピイピイピイ,ニトリ,ピイピイピイスリー,ピイピイピイサン,ピイピイピイ,トライプロテクト,トライ,プロテクト","20","株式会社ニトリホールディングス","2015/09/11","2016/04/08","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-093531/40/ja"
"登録5837447","§ＮＩＴＯＲＩ＼ＰＰ∞２∞デュアルプロテクト","","ニトリピイピイツーデュアルプロテクト,ニトリピイピイニデュアルプロテクト,ニトリピイピイツー,ニトリピイピイニ,ニトリピイピイ,ニトリ,デュアルプロテクト,デュアル,プロテクト","20","株式会社ニトリホールディングス","2015/09/11","2016/04/08","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-093532/40/ja"
"登録5843254","ＮＩＴＯＲＩ　ＱＵＡＬＩＴＹ　ＬＩＮＥ","","ニトリクオリティライン,ニトリ,クオリティライン,クオリティ","06,11,14,16,20,21,24,26","株式会社ニトリホールディングス","2015/10/30","2016/04/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-111345/40/ja"
"登録5850836","ＮＩＴＯＲＩ　ＳＴＵＤＩＯ","","ニトリスタジオ,ニトリ,スタジオ","20","株式会社ニトリホールディングス","2015/11/20","2016/05/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-119129/40/ja"
"登録5850837","Ｎ－Ｓｈｉｅｌｄ","","エヌシールド,シールド","20","株式会社ニトリホールディングス","2015/11/20","2016/05/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-119130/40/ja"
"登録5850838","Ｎポケット","","エヌポケット","20","株式会社ニトリホールディングス","2015/11/20","2016/05/20","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2015-119131/40/ja"
"登録5858248","ＮＥＬＰＡＮ","","ネルパン","25,35","株式会社ファーストリテイリング","2016/01/06","2016/06/10","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-001061/40/ja"
"登録5867868","ニトスキ","","ニトスキ","09,16,21,35,43","株式会社ニトリホールディングス","2016/01/27","2016/07/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-013671/40/ja"
"登録5876112","マルチすっぽりシーツ","","マルチスッポリシーツ,マルチスッポリ,マルチ,スッポリシーツ,スッポリ","24","株式会社ニトリホールディングス","2016/01/13","2016/08/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-007647/40/ja"
"登録5876113","マルチ＼すっぽりシーツ","","マルチスッポリシーツ,マルチスッポリ,マルチ,スッポリシーツ,スッポリ","24","株式会社ニトリホールディングス","2016/01/13","2016/08/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-007648/40/ja"
"登録5876972","§ｗｅａｒｅｘ","","ウエアレクス,ウエアレックス","09,25,35,42","株式会社ファーストリテイリング","2016/03/02","2016/08/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-022501/40/ja"
"登録5883440","ＯＣＺ","","オオシイゼット","09","キオクシア株式会社","2016/03/30","2016/09/23","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-036205/40/ja"
"登録5883998","ＵＵＵＵ＼ＵＵＵＵ＼ＵＵＵＵ","","ユウユウユウユウ","25,35","株式会社ファーストリテイリング","2016/03/28","2016/09/23","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-034448/40/ja"
"登録5889196","ＢＬＯＣＫ　ＴＥＣＨ","","ブロックテック,ブロックテク,ブロック,テック,テク","25,35","株式会社ファーストリテイリング","2016/04/19","2016/10/14","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-044386/40/ja"
"登録5892458","","","","09","キオクシア株式会社","2016/03/30","2016/10/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-036206/40/ja"
"登録5892459","ＯＣＺ","","オオシイゼット","09","キオクシア株式会社","2016/03/30","2016/10/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-036207/40/ja"
"登録5895547","Ｍａｍｏｌｉｃａ","","マモリカ","09","キオクシア株式会社","2016/05/13","2016/11/11","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-052040/40/ja"
"登録5897355","ＢＬＯＣＫＴＥＣＨ","","ブロックテック","25,35","株式会社ファーストリテイリング","2016/04/26","2016/11/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-047035/40/ja"
"登録5898026","わけあって安い","","ワケアッテヤスイ","35","株式会社良品計画","2016/04/15","2016/11/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-043547/40/ja"
"登録5899752","ニモキッズ","","ニモキッズ","35,36,41,43","株式会社ニトリホールディングス","2016/02/19","2016/11/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-017782/40/ja"
"登録5899753","ニモキッズ","","ニモキッズ","35,36,41,43","株式会社ニトリホールディングス","2016/02/19","2016/11/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2016-017783/40/ja"
