"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録6693636","Ｎ‐Ｓｈｉｅｌｄ∞Ｎ・シールド∞Ｆａｂｒｉｃ","","エヌシールドファブリック,エヌシールド,シールド,ファブリック","20,24","株式会社ニトリホールディングス","2022/10/27","2023/04/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-123223/40/ja"
"登録6702939","ＭＵＪＩ","","ムジ","05,09,10,16,35,42","株式会社良品計画","2022/06/03","2023/05/31","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-063571/40/ja"
"登録6708766","ＰＬＳＴ","","ピイエルエステイ,プルスト,プラステ","09,14,18,24,25,26,35,36,41,42,45","株式会社ファーストリテイリング","2022/12/15","2023/06/16","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-143341/40/ja"
"登録6708854","ＡｉｒＳｅｎｓｅ","","エアセンス,エア,エイアイアアル,センス","25","株式会社ファーストリテイリング","2023/01/11","2023/06/16","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-001681/40/ja"
"登録6711126","Ｎ－Ｓｈｉｅｌｄ","","エヌシールド,シールド","18,20,24,25,28","株式会社ニトリホールディングス","2022/12/27","2023/06/23","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-147850/40/ja"
"登録6715021","カンタンＴ","","カンテンテイ,カンタン","25","株式会社ファーストリテイリング","2023/01/11","2023/07/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-001843/40/ja"
"登録6716711","マルスポ","","マルスポ","24,35","株式会社ニトリホールディングス","2022/12/19","2023/07/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-144292/40/ja"
"登録6716712","ＷＳＰ","","ダブリュウエスピイ","35","株式会社ニトリホールディングス","2022/12/19","2023/07/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-144293/40/ja"
"登録6717283","ＰＵＦＦＴＥＣＨ","","パフテック,パフテク","25","株式会社ファーストリテイリング","2023/01/25","2023/07/13","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-006705/40/ja"
"登録6718014","ＥＸＣＥＲＩＡ　ＨＩＧＨ　ＥＮＤＵＲＡＮＣＥ　Ｇ","","エクセリアハイエンデュランスジイ,エクセリアハイエンデュランス,エクセリア,エキセリア,ハイエンデュランスジイ,ハイエンデュランス,エンデュランス","09,42","キオクシア株式会社","2022/12/28","2023/07/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-148763/40/ja"
